basevariante,aliment,variante,tva,famille,allergenes
Galette multicéréales soufflée,Galette,multicéréales soufflée,-,Epicerie,
Galette au blé et aux épinards,Galette,au blé et aux épinards,-,Epicerie,
Galette de céréales au fromage,Galette,de céréales au fromage,-,Epicerie,
Galette de céréales aux légumes,Galette,de céréales aux légumes,-,Epicerie,
Galette boulgour pois chiche,Galette,boulgour pois chiche,-,Epicerie,
Galette boulgour lentilles fromage,Galette,boulgour lentilles fromage,-,Epicerie,
Galette boulgour oriental,Galette,boulgour oriental,-,Epicerie,
"Galette au blé,fromage,épinard",Galette,"au blé,fromage,épinard",-,Epicerie,
Galette au soja,Galette,au soja,-,Epicerie,
Galette au soja et à la tomate,Galette,au soja et à la tomate,-,Epicerie,
Galette soja et blé,Galette,soja et blé,-,Epicerie,
Galette au blé et légumes,Galette,au blé et légumes,-,Epicerie,
Galette au blé et soja,Galette,au blé et soja,-,Epicerie,
Galette au soja et fromage,Galette,au soja et fromage,-,Epicerie,
Galette au soja et légumes,Galette,au soja et légumes,-,Epicerie,
Galette au soja fromage et légumes,Galette,au soja fromage et légumes,-,Epicerie,
"Galette aux lentilles, soja et légumes",Galette,"aux lentilles, soja et légumes",-,Epicerie,
Galette de sarrasin,Galette,de sarrasin,-,Epicerie,
Galette des rois frangipane,Galette des rois,frangipane,-,Epicerie,
Galette des rois feuilletée,Galette des rois,feuilletée,-,Epicerie,
Garam Masala,Garam Masala,,-,Epicerie,
Garniture céleri,Garniture céleri,,-,Epicerie,
Garniture framboise,Garniture framboise,,-,Epicerie,
Garniture paëlla,Garniture paëlla,,-,Epicerie,
Gaspacho,Gaspacho,,-,Epicerie,
Gâteau à la fraise,Gâteau à la fraise,,-,Epicerie,
Gâteau au chocolat coeur fondant,Gâteau au chocolat,coeur fondant,-,BOF,
Gâteau au chocolat,Gâteau au chocolat,,-,BOF,
Gâteau au chocolat forêt noire,Gâteau au chocolat,forêt noire,-,BOF,
Gâteau au citron,Gâteau au citron,,-,Epicerie,
Gâteau au fromage blanc,Gâteau au fromage blanc,,-,Epicerie,
Gâteau au fromage frais,Gâteau au fromage frais,,-,BOF,
Gâteau au yaourt,Gâteau au yaourt,,-,Epicerie,
Gâteau aux amandes,Gâteau aux amandes,,-,Epicerie,
Gâteau aux amandes type financier,Gâteau aux amandes,type financier,-,Epicerie,
Gâteau basque,Gâteau basque,,-,Epicerie,
Gâteau basque cerises,Gâteau basque,cerises,-,Epicerie,
Gâteau basque crème pâtissière,Gâteau basque,crème pâtissière,-,Epicerie,
Gâteau boudoir,Gâteau boudoir,,-,Epicerie,
Gâteau cake,Gâteau cake,,-,Epicerie,
Gâteau cookie,Gâteau cookie,,-,Epicerie,
Gâteau croissant,Gâteau croissant,,-,Epicerie,
Gâteau de riz,Gâteau de riz,,-,BOF,
Gâteau de riz au caramel,Gâteau de riz au caramel,,-,BOF,
Gâteau de semoule,Gâteau de semoule,,-,BOF,
Gâteau de semoule aux raisins et caramel,Gâteau de semoule aux raisins et caramel,,-,BOF,
Gâteau galette bretonne,Gâteau galette bretonne,,-,Epicerie,
Gâteau madeleine,Gâteau madeleine,,-,Epicerie,
Gâteau marbré,Gâteau marbré,,-,Epicerie,
Gâteau marbré au chocolat,Gâteau marbré,au chocolat,-,Epicerie,
Gâteau mini chou,Gâteau mini chou,,-,Epicerie,
Gâteau moelleux à l'abricot,Gâteau moelleux,à l'abricot,-,Epicerie,
Gâteau moelleux au citron,Gâteau moelleux,au citron,-,Epicerie,
Gâteau moelleux aux pommes,Gâteau moelleux,aux pommes,-,Epicerie,
Gâteau moelleux aux fruits,Gâteau moelleux,aux fruits,-,Epicerie,
Gâteau moelleux aux fruits à coque,Gâteau moelleux,aux fruits à coque,-,Epicerie,
Gâteau moelleux au chocolat,Gâteau moelleux,au chocolat,-,Epicerie,
Gâteau palet breton,Gâteau palet breton,,-,Epicerie,
Gâteau Paris-Brest,Gâteau Paris-Brest,,-,Epicerie,
Gâteau sablé au chocolat,Gâteau sablé,au chocolat,-,Epicerie,
Gâteau sablé aux fruits,Gâteau sablé,aux fruits,-,Epicerie,
Gâteau sablé fruit,Gâteau sablé,fruit,-,Epicerie,
Gâteau sablé,Gâteau sablé,,-,Epicerie,
Gaufre bruxelloise,Gaufre bruxelloise,,-,Epicerie,
Gaufre bruxelloise au chocolat,Gaufre bruxelloise,au chocolat,-,Epicerie,
Gaufre croustillante au chocolat,Gaufre croustillante,au chocolat,-,Epicerie,
Gaufre croustillante,Gaufre croustillante,,-,Epicerie,
Gaufre fourrée au miel,Gaufre fourrée,au miel,-,Epicerie,
Gaufrette,Gaufrette,,-,Epicerie,
Gaufrette fourrée à la vanille,Gaufrette fourrée,à la vanille,-,Epicerie,
Gaufrette fourrée aux fruits,Gaufrette fourrée,aux fruits,-,Epicerie,
Gaufrette fourrée aux fruits à coque,Gaufrette fourrée,aux fruits à coque,-,Epicerie,
Gaufrette fourrée au chocolat,Gaufrette fourrée,au chocolat,-,Epicerie,
Gélatine,Gélatine,,-,Epicerie,
Gelée de fruits divers,Gelée,de fruits divers,-,Epicerie,
Gelée au madère,Gelée,au madère,-,Epicerie,
Gelée de groseille,Gelée,de groseille,-,Epicerie,
Gelée royale,Gelée,royale,-,Epicerie,
Gelée groseille,Gelée,groseille,-,Epicerie,
Gélifiant pour confitures,Gélifiant pour confitures,,-,Epicerie,
Gendarme,Gendarme,,-,Viandes_Poissons,
Génoise,Génoise,,-,Epicerie,
Génoise fourrée aux fruits et nappée de chocolat,Génoise,fourrée aux fruits et nappée de chocolat,-,Epicerie,
Génoise fourrée et nappée au chocolat,Génoise,fourrée et nappée au chocolat,-,Epicerie,
Germe de blé,Germe de blé,,-,Epicerie,
Gésier de volaille,Gésier,de volaille,-,Viandes_Poissons,
Gésier de canard confit,Gésier,de canard confit,-,Viandes_Poissons,
Gésier de poulet,Gésier,de poulet,-,Viandes_Poissons,
Gésier de dinde émincé,Gésier,de dinde émincé,-,Viandes_Poissons,
Gin,Gin,,-,Epicerie,
Gingembre,Gingembre,,-,Epicerie,
Gingembre en poudre,Gingembre,en poudre,-,Epicerie,
Giraumon variété phoenix,Giraumon,variété phoenix,-,Fruits_et_légumes,
Giraumon variété phoenix,Giraumon,variété phoenix,-,Fruits_et_légumes,
Giraumon,Giraumon,,-,Fruits_et_légumes,
Giraumon,Giraumon,,-,Fruits_et_légumes,
Girofle,Girofle,,-,Fruits_et_légumes,
Gîte,Gîte,,-,Viandes_Poissons,
Glace au yaourt et coulis fruit,Glace,au yaourt et coulis fruit,-,Epicerie,
Glace,Glace,,-,Epicerie,
Glace vanille,Glace,vanille,-,Epicerie,
Glace chocolat,Glace,chocolat,-,Epicerie,
Glace au yaourt,Glace au yaourt,,-,Epicerie,
Glace bâtonnet vanille et chocolat,Glace bâtonnet,vanille et chocolat,-,Epicerie,
Glace bâtonnet,Glace bâtonnet,,-,Epicerie,
Glace cône,Glace cône,,-,Epicerie,
Glucose,Glucose,,-,Epicerie,
Gnocchi à la pomme de terre,Gnocchi,à la pomme de terre,-,Epicerie,
Gnocchi à la semoule,Gnocchi,à la semoule,-,Epicerie,
Goémon noir,Goémon noir,,-,Epicerie,
Gombo,Gombo,,-,Fruits_et_légumes,
Gombo blanchi,Gombo,blanchi,-,Fruits_et_légumes,
Gombo,Gombo,,-,Fruits_et_légumes,
Gorgonzola,Gorgonzola,,-,BOF,
Gouda,Gouda,,-,BOF,
Gougère,Gougère,,-,Epicerie,
Gousse de vanille,Gousse de vanille,,-,Epicerie,
Goyave,Goyave,,-,Fruits_et_légumes,
Gracilaire,Gracilaire,,-,Epicerie,
Graine de couscous,Graine de couscous,,-,Epicerie,
Grains de blé soufflés au caramel,Grains de blé soufflés,au caramel,-,Epicerie,
Grains de blé soufflés au chocolat,Grains de blé soufflés,au chocolat,-,Epicerie,
Grains de blé soufflés au miel,Grains de blé soufflés,au miel,-,Epicerie,
Graisse de canard,Graisse,de canard,-,Epicerie,
Graisse d'oie,Graisse,d'oie,-,Epicerie,
Graisse de dinde,Graisse,de dinde,-,Epicerie,
Graisse de poulet,Graisse,de poulet,-,Epicerie,
Graisse de palmiste,Graisse,de palmiste,-,Epicerie,
Graisse de coco,Graisse,de coco,-,Epicerie,
Grana Padano,Grana Padano,,-,BOF,
Grand Marnier,Grand Marnier,,-,Epicerie,
Gratin dauphinois,Gratin,dauphinois,-,Epicerie,
Gratin de pâtes,Gratin,de pâtes,-,Epicerie,
Gratin de chou-fleur,Gratin,de chou-fleur,-,Epicerie,
Gratin d'aubergine,Gratin,d'aubergine,-,Epicerie,
Gratin de légumes,Gratin,de légumes,-,Epicerie,
Gratin de légumes en sauce blanche,Gratin,de légumes en sauce blanche,-,Epicerie,
Gratin de poisson et purée,Gratin,de poisson et purée,-,Epicerie,
Gratin de fruits de mer,Gratin,de fruits de mer,-,Epicerie,
Grenade,Grenade,,-,Fruits_et_légumes,
Grenadier bleu,Grenadier,bleu,-,Viandes_Poissons,
Grenadier de roche,Grenadier,de roche,-,Viandes_Poissons,
Grenadier hoki de nouvelle-zélande,Grenadier,hoki de nouvelle-zélande,-,Viandes_Poissons,
Grenouille cuisse,Grenouille,cuisse,-,Viandes_Poissons,
Gressin,Gressin,,-,Epicerie,
Griotte,Griotte,,-,Fruits_et_légumes,
Grondin,Grondin,,-,Viandes_Poissons,
Grondin perlon,Grondin,perlon,-,Viandes_Poissons,
Groseille,Groseille,,-,Fruits_et_légumes,
Groseille à maquereau,Groseille,à maquereau,-,Fruits_et_légumes,
Gruyère,Gruyère,,-,BOF,
Guacamole,Guacamole,,-,Epicerie,
Guimauve,Guimauve,,-,Epicerie,
Guimauve enrobé de chocolat,Guimauve,enrobé de chocolat,-,Epicerie,
Haché à base de boeuf 15% mg,Haché à base de boeuf,15% mg,-,Viandes_Poissons,
Haché de volaille,Haché de volaille,,-,Viandes_Poissons,
Haché végétal à base de soja,Haché végétal à base de soja,,-,Epicerie,
Hachis parmentier à la viande,Hachis parmentier à la viande,,-,Epicerie,
Haddock fumé,Haddock,fumé,-,Viandes_Poissons,
Hamburger de veau,Hamburger,de veau,-,Epicerie,
Hamburger,Hamburger,,-,Epicerie,
Hareng,Hareng,,-,Viandes_Poissons,
Hareng mariné,Hareng,mariné,-,Viandes_Poissons,
Hareng frit,Hareng,frit,-,Viandes_Poissons,
Hareng gras,Hareng,gras,-,Viandes_Poissons,
Hareng maigre,Hareng,maigre,-,Viandes_Poissons,
Hareng fumé à l'huile,Hareng fumé,à l'huile,-,Viandes_Poissons,
Hareng fumé filet doux,Hareng fumé,filet doux,-,Viandes_Poissons,
Hareng fumé,Hareng fumé,,-,Viandes_Poissons,
Haricot beurre,Haricot beurre,,-,Fruits_et_légumes,
Haricot beurre,Haricot beurre,,-,Fruits_et_légumes,
Haricot beurre,Haricot beurre,,-,Fruits_et_légumes,
Haricot blanc,Haricot blanc,,-,Epicerie,
Haricot blanc,Haricot blanc,,-,Epicerie,
Haricot coco,Haricot coco,,-,Epicerie,
Haricot de Lima,Haricot de Lima,,-,Fruits_et_légumes,
Haricot de mer,Haricot de mer,,-,Epicerie,
Haricot midnight black,Haricot midnight black,,-,Fruits_et_légumes,
Haricot mungo,Haricot mungo,,-,Fruits_et_légumes,
Haricot mungo,Haricot mungo,,-,Fruits_et_légumes,
Haricot plat,Haricot plat,,-,Fruits_et_légumes,
Haricot plat,Haricot plat,,-,Fruits_et_légumes,
Haricot rouge,Haricot rouge,,-,Epicerie,
Haricot rouge,Haricot rouge,,-,Epicerie,
Haricot vert extra fin,Haricot vert,extra fin,-,Fruits_et_légumes,
Haricot vert,Haricot vert,,-,Fruits_et_légumes,
Haricot vert,Haricot vert,,-,Fruits_et_légumes,
Haricots blancs à la sauce tomate,Haricots blancs,à la sauce tomate,-,Epicerie,
Haricots verts,Haricots verts,,-,Fruits_et_légumes,
Harissa,Harissa,,-,Epicerie,
Harissa,Harissa,,-,Epicerie,
Herbes de provence séché,Herbes de provence,séché,-,Epicerie,
Hoki filet,Hoki,filet,-,Viandes_Poissons,
Hoki,Hoki,,-,Viandes_Poissons,
Hoki pané,Hoki,pané,-,Viandes_Poissons,
Homard,Homard,,-,Viandes_Poissons,
Hot-dog,Hot-dog,,-,Epicerie,
Houmous,Houmous,,-,Epicerie,
Huile arachide,Huile,arachide,-,Epicerie,
Huile de noisette,Huile,de noisette,-,Epicerie,
Huile de friture,Huile,de friture,-,Epicerie,
Huile,Huile,,-,Epicerie,
Huile de noix,Huile,de noix,-,Epicerie,
Huile d'olive vierge extra,Huile,d'olive vierge extra,-,Epicerie,
Huile d'olive,Huile,d'olive,-,Epicerie,
Huile de paraffine,Huile,de paraffine,-,Epicerie,
Huile de beurre,Huile,de beurre,-,Epicerie,
Huile de foie de morue,Huile,de foie de morue,-,Epicerie,
Huile de hareng,Huile,de hareng,-,Epicerie,
Huile de sardine,Huile,de sardine,-,Epicerie,
Huile de saumon,Huile,de saumon,-,Epicerie,
Huile de friture végétale,Huile,de friture végétale,-,Epicerie,
Huile d'amandes,Huile,d'amandes,-,Epicerie,
Huile d'argan,Huile,d'argan,-,Epicerie,
Huile d'argane,Huile,d'argane,-,Epicerie,
Huile d'avocat,Huile,d'avocat,-,Epicerie,
Huile de carthame,Huile,de carthame,-,Epicerie,
Huile de coton,Huile,de coton,-,Epicerie,
Huile de germe de blé,Huile,de germe de blé,-,Epicerie,
Huile de lin,Huile,de lin,-,Epicerie,
Huile de maïs,Huile,de maïs,-,Epicerie,
Huile de palme,Huile,de palme,-,Epicerie,
Huile de pavot,Huile,de pavot,-,Epicerie,
Huile de pépins de raisin,Huile,de pépins de raisin,-,Epicerie,
Huile de sésame,Huile,de sésame,-,Epicerie,
Huile de soja,Huile,de soja,-,Epicerie,
Huile de son de riz,Huile,de son de riz,-,Epicerie,
Huile combinée,Huile,combinée,-,Epicerie,
Huile de tournesol,Huile,de tournesol,-,Epicerie,
Huile friture,Huile,friture,-,Epicerie,
Huile colza,Huile,colza,-,Epicerie,
Huile de colza,Huile,de colza,-,Epicerie,
Huître creuse,Huître,creuse,-,Viandes_Poissons,
Huître plate,Huître,plate,-,Viandes_Poissons,
Huître,Huître,,-,Viandes_Poissons,
Igname épluchée,Igname,épluchée,-,Fruits_et_légumes,
Igname jaune,Igname,jaune,-,Fruits_et_légumes,
Igname saint martin,Igname,saint martin,-,Fruits_et_légumes,
Igname,Igname,,-,Fruits_et_légumes,
Ile flottante,Ile flottante,,-,BOF,
Jambon à griller,Jambon,à griller,-,Viandes_Poissons,
Jambon de volaille,Jambon,de volaille,-,Viandes_Poissons,
Jambon de dinde,Jambon,de dinde,-,Viandes_Poissons,
Jambon de vendée,Jambon,de vendée,-,Viandes_Poissons,
Jambon de porc,Jambon,de porc,-,Viandes_Poissons,
Jambon cuit supérieure,Jambon,cuit supérieure,-,Viandes_Poissons,
Jambon cuit de paris,Jambon,cuit de paris,-,Viandes_Poissons,
Jambon cuit,Jambon,cuit,-,Viandes_Poissons,
Jambon sec,Jambon,sec,-,Viandes_Poissons,
Jambon fumé à griller,Jambon,fumé à griller,-,Viandes_Poissons,
Jambon blanc,Jambon,blanc,-,Viandes_Poissons,
Jambon persillé,Jambon,persillé,-,Viandes_Poissons,
Jambon cru,Jambon,cru,-,Viandes_Poissons,
Jambon cru fumé,Jambon,cru fumé,-,Viandes_Poissons,
Jambon de Bayonne,Jambon,de Bayonne,-,Viandes_Poissons,
Jambon sec de parme,Jambon,sec de parme,-,Viandes_Poissons,
Jambon sec serrano,Jambon,sec serrano,-,Viandes_Poissons,
Jambon à l'os braisé,Jambon à l'os braisé,,-,Viandes_Poissons,
Jambon en croûte,Jambon en croûte,,-,Viandes_Poissons,
Jambon persillé en gelée,Jambon persillé en gelée,,-,Viandes_Poissons,
Jambonneau cuit,Jambonneau,cuit,-,Viandes_Poissons,
Jambonneau,Jambonneau,,-,Viandes_Poissons,
Joëls (petits poissons entiers),Joëls (petits poissons entiers),,-,Viandes_Poissons,
Joue,Joue,,-,Viandes_Poissons,
Julienne filet,Julienne,filet,-,Viandes_Poissons,
Julienne filet,Julienne,filet,-,Viandes_Poissons,
Julienne de légumes,Julienne de légumes,,-,Fruits_et_légumes,
Jus de poulet,Jus,de poulet,-,Epicerie,
Jus de rôti,Jus,de rôti,-,Epicerie,
Jus de boeuf,Jus,de boeuf,-,Epicerie,
Jus de veau,Jus,de veau,-,Epicerie,
Jus de citron vert,Jus,de citron vert,-,Epicerie,
Jus de pomme,Jus,de pomme,-,Epicerie,
Jus de citron,Jus,de citron,-,Epicerie,
Jus de pommes brick,Jus,de pommes brick,-,Epicerie,
Jus de carambole,Jus,de carambole,-,Epicerie,
Jus de corossol,Jus,de corossol,-,Epicerie,
Jus aux fruits de la passion,Jus,aux fruits de la passion,-,Epicerie,
Jus de grenade,Jus,de grenade,-,Epicerie,
Jus de lime,Jus,de lime,-,Epicerie,
Jus de mandarine commune,Jus,de mandarine commune,-,Epicerie,
Jus de mandarine macaque,Jus,de mandarine macaque,-,Epicerie,
Jus de moubin,Jus,de moubin,-,Epicerie,
Jus de prune de cythère verte,Jus,de prune de cythère verte,-,Epicerie,
Jus d'ananas,Jus,d'ananas,-,Epicerie,
Jus d'orange sanguine,Jus,d'orange sanguine,-,Epicerie,
Jus de carotte,Jus,de carotte,-,Epicerie,
Jus de clémentine,Jus,de clémentine,-,Epicerie,
Jus de fruits et de légumes,Jus,de fruits et de légumes,-,Epicerie,
Jus de mangue,Jus,de mangue,-,Epicerie,
Jus de pamplemousse,Jus,de pamplemousse,-,Epicerie,
Jus de pruneau,Jus,de pruneau,-,Epicerie,
Jus de raisin,Jus,de raisin,-,Epicerie,
Jus de tomate,Jus,de tomate,-,Epicerie,
Jus multifruit - base orange,Jus,multifruit - base orange,-,Epicerie,
Jus multifruit - base pomme,Jus,multifruit - base pomme,-,Epicerie,
Jus multifruit - base raisin,Jus,multifruit - base raisin,-,Epicerie,
Jus d'orange,Jus,d'orange,-,Epicerie,
Jus multifruit,Jus,multifruit,-,Epicerie,
Jus de canard,Jus,de canard,-,Epicerie,
Jus d'agneau,Jus,d'agneau,-,Epicerie,
Jus de porc,Jus,de porc,-,Epicerie,
Jus de volaille rôtie,Jus,de volaille rôtie,-,Epicerie,
Kaki,Kaki,,-,Fruits_et_légumes,
Kamanioc,Kamanioc,,-,Fruits_et_légumes,
Kéfir de lait,Kéfir de lait,,-,BOF,
Ketchup,Ketchup,,-,Epicerie,
Khatfa feuille de brick,Khatfa feuille de brick,,-,Epicerie,
Kiwi hayward,Kiwi,hayward,-,Fruits_et_légumes,
Kiwi,Kiwi,,-,Fruits_et_légumes,
Kiwi jaunes,Kiwi,jaunes,-,Fruits_et_légumes,
Knack,Knack,,-,Viandes_Poissons,
Kombu breton,Kombu breton,,-,Epicerie,
kombu japonais,kombu japonais,,-,Epicerie,
Kombu royal,Kombu royal,,-,Epicerie,
Kombucha,Kombucha,,-,Epicerie,
Kouign Amann,Kouign Amann,,-,Epicerie,
Kumquat,Kumquat,,-,Fruits_et_légumes,
Lait 1er âge,Lait 1er âge,,-,Epicerie,
Lait 2e âge,Lait 2e âge,,-,Epicerie,
Lait aromatisé,Lait aromatisé,,-,Epicerie,
Lait concentré,Lait concentré,,-,BOF,
Lait concentré sucré,Lait concentré,sucré,-,BOF,
Lait concentré,Lait concentré,,-,BOF,
Lait de brebis entier,Lait de brebis,entier,-,BOF,
Lait de chèvre demi-écrémé uht,Lait de chèvre,demi-écrémé uht,-,BOF,
Lait de chèvre entier,Lait de chèvre,entier,-,BOF,
Lait de chèvre entier uht,Lait de chèvre,entier uht,-,BOF,
Lait de coco,Lait de coco,,-,Epicerie,
Lait de croissance infantile,Lait de croissance infantile,,-,Epicerie,
Lait de jument entier,Lait de jument,entier,-,BOF,
Lait demi-écrémé,Lait demi-écrémé,,-,BOF,
Lait demi-écrémé uht,Lait demi-écrémé,uht,-,BOF,
Lait demi-écrémé pasteurisé,Lait demi-écrémé,pasteurisé,-,BOF,
Lait écremé uht,Lait écremé,uht,-,BOF,
Lait écrémé pasteurisé,Lait écrémé,pasteurisé,-,BOF,
Lait écrémé uht,Lait écrémé,uht,-,BOF,
Lait emprésuré aromatisé,Lait emprésuré aromatisé,,-,BOF,
Lait en poudre demi-écrémé,Lait en poudre,demi-écrémé,-,BOF,
Lait en poudre entier,Lait en poudre,entier,-,BOF,
Lait en poudre 1/2 écrémé,Lait en poudre,1/2 écrémé,-,BOF,
Lait en poudre écrémé,Lait en poudre,écrémé,-,BOF,
Lait entier uht,Lait entier,uht,-,BOF,
Lait entier uht,Lait entier,uht,-,BOF,
Lait entier pasteurisé,Lait entier,pasteurisé,-,BOF,
Lait entier pasteurisé,Lait entier,pasteurisé,-,BOF,
Lait fermenté à boire nature au lait entier,Lait fermenté à boire,nature au lait entier,-,BOF,
Lait fermenté à boire nature maigre,Lait fermenté à boire,nature maigre,-,BOF,
Lait gelifié caramel,Lait gelifié,caramel,-,BOF,
Lait gelifié chocolat,Lait gelifié,chocolat,-,BOF,
Lait gelifié vanille,Lait gelifié,vanille,-,BOF,
Lait gélifié aromatisé nappé caramel,Lait gélifié aromatisé,nappé caramel,-,BOF,
Lait gélifié aromatisé,Lait gélifié aromatisé,,-,BOF,
Lait infantile pour prématurés,Lait infantile pour prématurés,,-,Epicerie,
Lait protéine uht,Lait protéine uht,,-,BOF,
Laitue,Laitue,,-,Fruits_et_légumes,
Laitue,Laitue,,-,Fruits_et_légumes,
Laitue iceberg,Laitue,iceberg,-,Fruits_et_légumes,
Laitue romaine,Laitue,romaine,-,Fruits_et_légumes,
Langouste,Langouste,,-,Viandes_Poissons,
Langoustine,Langoustine,,-,Viandes_Poissons,
Langoustine panée frite,Langoustine,panée frite,-,Viandes_Poissons,
Langres,Langres,,-,BOF,
Langue de boeuf,Langue,de boeuf,-,Viandes_Poissons,
Langue d'agneau,Langue,d'agneau,-,Viandes_Poissons,
Langue de porc,Langue,de porc,-,Viandes_Poissons,
Langue de veau,Langue,de veau,-,Viandes_Poissons,
Langue de boeuf,Langue,de boeuf,-,Viandes_Poissons,
Lapin sauté,Lapin,sauté,-,Viandes_Poissons,
Lapin,Lapin,,-,Viandes_Poissons,
Lapin cuisse,Lapin,cuisse,-,Viandes_Poissons,
Lapin de garenne,Lapin,de garenne,-,Viandes_Poissons,
Lapin à la moutarde,Lapin,à la moutarde,-,Viandes_Poissons,
Lard gras,Lard gras,,-,Epicerie,
Lardon nature,Lardon,nature,-,Viandes_Poissons,
Lardon fumé,Lardon,fumé,-,Viandes_Poissons,
Lasagnes aux légumes,Lasagnes,aux légumes,-,Epicerie,
Lasagnes bolognaise,Lasagnes,bolognaise,-,Epicerie,
Lasagnes au saumon,Lasagnes,au saumon,-,Epicerie,
Lasagnes,Lasagnes,,-,Epicerie,
Lasagnes au fromage et aux épinards,Lasagnes,au fromage et aux épinards,-,Epicerie,
Laurier feuille,Laurier feuille,,-,Epicerie,
Lécithine de soja,Lécithine de soja,,-,Epicerie,
Légumes farcis,Légumes farcis,,-,Epicerie,
Légumes pour couscous,Légumes pour couscous,,-,Fruits_et_légumes,
Légumes pour couscous,Légumes pour couscous,,-,Fruits_et_légumes,
Légumes pour pot au feu,Légumes pour pot au feu,,-,Fruits_et_légumes,
Légumes pour potages,Légumes pour potages,,-,Fruits_et_légumes,
Légumes pour ratatouille,Légumes pour ratatouille,,-,Fruits_et_légumes,
Lentille paysanne,Lentille,paysanne,-,Epicerie,
Lentille cuisinée,Lentille,cuisinée,-,Epicerie,
Lentille corail,Lentille,corail,-,Epicerie,
Lentille,Lentille,,-,Epicerie,
Lentille blonde,Lentille,blonde,-,Epicerie,
Lentille verte,Lentille,verte,-,Epicerie,
Lentille Béluga,Lentille,Béluga,-,Epicerie,
